Titre de poste ,Sex,Entreprise,Localisation,salaire MIN,salaire MAX,Salaire Moyen,Type de salaire,Salaire Annuel Calculé,Contrat
Ingénieur informatique en prestation de services (ESN),,Tana-Tech,Bordeaux,34000,50000,42000,Annuel,42000,CDI
Ingénieure /Ingénieur Système Avionique - Aix-en-Provence,,Capgemini Engineering,Aix-en-Provence,,,,,,CDI
Ingénieur en système d'information,,Avenir Business Ressource,Télétravail,35000,,17500,Annuel,17500,CDI
Ingénieur en développement informatique,H/F,Pégase Market,Le Mans,32000,,16000,Annuel,16000,CDI
Ingénieur Système - Analyseur en ligne PFTNA,,Consept,Orly,45000,55000,50000,Annuel,50000,CDI
Ingénieur Système - Analyseur en ligne PFTNA,,Noury solutions (N-Solutions),Orly,45000,55000,50000,Annuel,50000,CDI
Ingénieur Exploitation junior,H/F,PAPREC,Saint-Benoît-la-Forêt,,,,,,CDI
Ingénieur Cybersécurité,,Arsium,Villeurbanne,45000,55000,50000,Annuel,50000,CDI
Ingénieur support logiciels métier,,INFORMATIS,Suresnes,40000,50000,45000,Annuel,45000,CDI
INGÉNIEUR EN INFORMATIQUE INDUSTRIELLE ET AUTOMATISME,H/F,Eurométropole de Strasbourg,Strasbourg,,,,,,CDI
Ingénieur en informatique industrielle,H/F,SparkyFlow,Taverny,45000,50000,47500,Annuel,47500,CDI
Ingénieur / Ingénieure Cybersécurité,H/F,SCHMIDT GROUPE,Sélestat,45000,55000,50000,Annuel,50000,CDI
Ingénieur validation de données,H/F,CLEARSY,Aix-en-Provence,30000,70000,50000,Annuel,50000,CDI
Ingénieur Système Linux,H/F,ABIL NTIC,Puteaux,50000,60000,55000,Annuel,55000,CDI
Ingénieur Sécurité SI -,H/F,Ramsay Santé,Cergy,,,,,,CDI
Ingénieur support production,,OneSide Technologies,Levallois-Perret,,,,,,CDI
Ingénieur End-users devices,,INFORMATIS,Boulogne-Billancourt,46000,55000,50500,Annuel,50500,CDI
Ingénieur CyberSécurité,,Ecm-Engineering-Conception-Maintenance,Paris,40000,60000,50000,Annuel,50000,CDI
Ingénieur Support en Génie Logiciel,H/F,ville-cholet.fr,Cholet,,,,,,CDI
Ingénieur DevSecOps,H/F,LE TROT,Paris,65000,,32500,Annuel,32500,CDI
Ingénieur Exploitation Junior,H/F,Groupe Ortec,Saint-Barthélemy-d'Anjou,,,,,,CDI
Ingénieur Fonctionnel Activ-Infinite,H/F,Activus Group,Télétravail,40000,60000,50000,Annuel,50000,CDI
Ingénieur Système,H/F,KNDS,Versailles,,,,,,CDI
Ingénieure / Ingénieur support en application logistique - Strasbourg,,Capgemini Engineering,Strasbourg,,,,,,CDI
Ingénieur photovoltaïque stockage,H/F,VOLTALIA SA,Paris,,,,,,CDI
Ingénieur(e) d’études en conversion et stockage de l’énergie,H/F,Eiffage Énergie Systèmes,Nantes,,,,,,CDI
Ingénieur Test Intégration Validation,H/F,CRISTAL SOLUTIONS,Conflans-Sainte-Honorine,35000,50000,42500,Annuel,42500,CDI
Ingénieur Support,H/F,SMART AND CONNECTIVE,Valbonne,35000,,17500,Annuel,17500,CDI
Ingénieur Administrateur Support,,Nyou,Paris,43000,53000,48000,Annuel,48000,CDI
Pentester / Ingénieur cybersécurité offensive / RedTeam,,ZIWIT,Montpellier,30000,60000,45000,Annuel,45000,CDI
Ingénieur en informatique,H/F,CNRS,Villeurbanne,3000,,1500,Mensuel,18000,CDD
Ingénieur en informatique dans l'expérience LHCb LPNHE/CPPM,H/F,CNRS,Paris,3000,4000,3500,Mensuel,42000,CDD
Ingénieur en électronique et informatique industrielle,H/F,SATT AxLR OCCITANIE MEDITERRANEE,Montpellier,2000,,1000,Mensuel,12000,CDD
"Ingénieur en informatique scientifique (analyse de données, hpc, ia)",H/F,Université Paris-Saclay,Orsay,,,,,,CDD
Ingénieur(e) en cybersécurité,H/F,Université de Rouen Normandie,Mont-Saint-Aignan,2000,,1000,Mensuel,12000,CDD
Ingénieur d’étude en Informatique,H/F,UNIVERSITE DE PERPIGNAN,Tautavel,24000,28000,26000,Annuel,26000,CDD
"Ingénieur, -e en calcul scientifique pour accélérer les modèles du système Terre",H/F,CNRS,Guyancourt,3000,4000,3500,Mensuel,42000,CDD
CDD- Ingénieur Qualité Système -,H/F,Danone,Villefranche-sur-Saône,,,,,,CDD
Ingénieur microélectronique,,Aix-Marseille Université,Marseille,30000,,15000,Annuel,15000,CDD
Ingénieur Système Stockage et Virtualisation,,Espritek,Toulon,5000,,2500,Mensuel,30000,CDD
Ingénieur Système,H/F,Conseil MOA,Roissy-en-France,46000,55000,50500,Annuel,50500,CDD
Ingénieur IA,H/F,POSSON PACKAGING,Louailles,25000,29000,27000,Annuel,27000,CDD
Ingénieur Base de données animaliers,H/F,Université de Lorraine,Nancy,2000,,1000,Mensuel,12000,CDD
INGENIEUR SUPPORT PORTABLES SECURISES,H/F,Ministère de l'europe et des affaires étrangères,Nantes,39000,66000,52500,Annuel,52500,CDD
IT Network Engineer,,Tech Domain,Nantes,15.22,38.91,27.065,Horaire,49258.3,CDD
IT and Network Support Engineer,,Tech Domain,France,15,35,25,Horaire,45500,CDD
Ingénieur Cloud GCP confirmé,H/F,SCALESYS,Paris,,,,,,CDD
Network support Engineer,,Tech Domain,Entraigues-sur-la-Sorgue,30,35,32.5,Horaire,59150,CDD
INGÉNIEUR ARCHITECTE INFRASTRUCTURE SI RECHERCHE (Nouvelle fenêtre),H/F,POLE DIRECTION,Bron,,,,,,CDD
it support Engineer,,Tech Domain,Paris,30,35,32.5,Horaire,59150,CDD
Network Engineer,,Tech Domain,Lyon,15,35,25,Horaire,45500,CDD
Ingénieur de recherche – Intelligence artificielle,H/F,ICM Institut du Cerveau,Paris,42000,,21000,Annuel,21000,CDI
Ingénieur - Intelligence Artificielle embarquée,H/F,IRT Railenium,Saint-Denis,35000,,17500,Annuel,17500,CDI
Docteure / Docteur en intelligence artificielle,,Capgemini Engineering,Antibes,,,,,,CDI
Ingénieur – Intelligence Artificielle embarquée [29],H/F,Railenium,Saint-Denis,,,,,,CDI
Ingénieur en data management,H/F,Société ENVIRPROD,Vernon,36000,38000,37000,Annuel,37000,CDI
"Ingénieur.e R&D en Automatique, Contrôle commande, Mathématiques Appliquées",H/F,Safran,Massy,,,,,,CDI
Docteure / Docteur en intelligence artificielle au service de l'environnement,,Capgemini Engineering,Paris,,,,,,CDI
Ingénieur évaluation robotique / IA embarquée,H/F,Laboratoire National de Métrologie et d'Essais (LNE),Trappes,,,,,,CDI
Ingénieur-e en validation et vérification FPGA,H/F,Safran,Éragny,,,,,,CDI
INGÉNIEUR EN DÉVELOPPEMENT JAVA SPRING BOOT (H/F/X),H/F,IT link,Montpellier,40000,45000,42500,Annuel,42500,CDI
Ingénieur d’Affaires,H/F,Seenovate,Bordeaux,,,,,,CDI
Ingénieur de recherche en méthodes formelles,H/F,ONERA,Palaiseau,40000,60000,50000,Annuel,50000,CDI
Ingénieur-e mécanique BE Parachutes,H/F,Safran,Massy,,,,,,CDI
Ingénieur Qualité Client,H/F,Safran,Mantes-la-Jolie,,,,,,CDI
Ingénieur-e développement logiciel embarqué,H/F,Safran,Massy,,,,,,CDI
Ingénieur BI – Strasbourg,H/F,HARA Solidarity Consulting,Strasbourg,,,,,,CDI
Ingénieur Qualité Fournisseur,H/F,Safran,Besançon,,,,,,CDI
Ingénieur Projet,H/F,FONCTION:SUPPORT,Grenoble,28000,33000,30500,Annuel,30500,CDI
Jeune Docteur coordinatrice / coordinateur en IA et sciences de données TOULOUSE,,Capgemini Engineering,Aix-en-Provence,,,,,,CDI
Docteure / Docteur en génie industriel,,Capgemini Engineering,Toulouse,,,,,,CDI
Ingénieur Qualité Développement Aéronautique,H/F,Safran,Massy,,,,,,CDI
INGÉNIEUR(E) EXPERT(E) EN TECHNOLOGIES DE L'INFORMATION,H/F,CNIL,Paris,45000,65000,55000,Annuel,55000,CDI
INGÉNIEUR(E) IA AU SERVICE DE L’INTELLIGENCE ARTIFICIELLE,H/F,CNIL,Paris,45000,65000,55000,Annuel,55000,CDI
Ingénieur-e Assurance Qualité Fournisseurs,H/F,Safran,Auxerre,,,,,,CDI
Ingénieur-e Performance et Simulation Missile,H/F,Safran,Éragny,,,,,,CDI
Ingénieur Logiciels Embarqués,H/F,Activus Group,Lyon,,,,,,CDI
Docteure / Docteur en télédétection & computer vision - Toulouse,,Capgemini Engineering,Toulouse,,,,,,CDI
Docteur coordinatrice / coordinateur en informatique et télécommunication,,Capgemini Engineering,Paris,,,,,,CDI
Ingénieur Développement Fullstack - GO/VueJS,,OneStock,Toulouse,,,,,,CDI
Ingénieur-e Assurance Qualité Production,H/F,Safran,Auxerre,,,,,,CDI
Ingénieur de recherche en intelligence artificielle (f/h),H/F,Université Grenoble Alpes,Grenoble,2000,,1000,Mensuel,12000,CDD
Ingénieur Data Scientist / Développeur en Modélisation Statistique,H/F,Inria,Montbonnot-Saint-Martin,3000,,1500,Mensuel,18000,CDD
Post-doctorant en Bioinformatique et en Intelligence Artificielle,H/F,CNRS,Strasbourg,3000,4000,3500,Mensuel,42000,CDD
Ingénieur de recherche en génie logiciel pour les modèles émergents en IA,H/F,CEA,Grenoble,,,,,,CDD
Chargé.e d’animation du Programme National de Recherche en Intelligence Artificielle,,Inria,Le Chesnay,,,,,,CDD
Ingénieur IA,H/F,POSSON PACKAGING,Louailles,25000,29000,27000,Annuel,27000,CDD
INGENIEUR.E TRANSFERT MATHEMATIQUE,H/F,CNRS,Rennes,3000,,1500,Mensuel,18000,CDD
DATA SCIENTIST,H/F,Civils de la Défense,Paris,,,,,,CDD
Coordinateur pédagogique,H/F,GIPAL-Formation,Lyon,24000,,12000,Annuel,12000,CDD
Assistant administratif,H/F,CNS Communications,Lyon,,,,,,CDD
Ingénieur Transfert dans le cadre du PUI PSL INNOVATION,H/F,CNRS,Paris,35000,,17500,Annuel,17500,CDD
Durabilité des conduites en galerie – Cas de la fonte grise et de la fonte ductile,,ENGEES/ icube,Strasbourg,,,,,,CDD
Post-Doctorant Flux de matières nationaux et internationaux des filières agri-alimentaires et empreintes environnementales associées,H/F,Inria,Montbonnot-Saint-Martin,3000,,1500,Mensuel,18000,CDD
Apprentissage profond pour une reconstruction explicable et efficiente d'IRM dynamiques // Deep Learning for Explainable and Efficient Dynamic MRI Reconstruction,,Université Paris-Saclay GS Sciences de l'ingénierie et des systèmes,Orsay,,,,,,CDD
Modèle de langage et reconstruction 3D neurale pour la navigation autonome d'un robot,H/F,CEA,Palaiseau,,,,,,CDD
"Ingénieur biomédical Manager de l'exploitation, de projets biomédicaux et d'informatique biomédicale - GHRE",H/F,Site hospitalier Broussais,Saint-Malo,,,,,,CDD
Chargé de projet cofund demythif ai,H/F,Université Paris-Saclay,Gif-sur-Yvette,,,,,,CDD
CDD - Talent Acquisition Specialist,H/F,Naval Group,Cherbourg-Octeville,,,,,,CDD
Directeur/ice adjoint/e du Challenge sur l’évaluation des systèmes d’IA d’usage général,,Inria,Le Chesnay,,,,,,CDD
Responsable du service gestion financière des contrats,H/F,Grenoble-INP,Grenoble,3000,,1500,Mensuel,18000,CDD
Post-doctorat : Développement librairie mathématiques Splines multi-niveaux,H/F,CEA,Saclay,,,,,,CDD
Products & Systems Engineer,,Capgemini Engineering,Paris,,,,,,CDI
Junior Power Systems Software Engineer,,Artelys,Paris,,,,,,CDI
Software Engineer (trading),H/F,Constella,Courbevoie,,,,,,CDI
Systems Engineer,H/F,Schneider Electric,Grenoble,,,,,,CDI
Process Engineer,H/F,Elogen,Massy,,,,,,CDI
Products & Systems Engineer,,Capgemini Engineering,Paris,,,,,,CDD
Junior Power Systems Software Engineer,,Artelys,Paris,,,,,,CDD
Software Engineer (trading),H/F,Constella,Courbevoie,,,,,,CDD
Systems Engineer,H/F,Schneider Electric,Grenoble,,,,,,CDD
Process Engineer,H/F,Elogen,Massy,,,,,,CDD
Utilisation LLMs pour la spécification des politiques de partage des donnée - CDD - Paris-Saclay,H/F,CEA,Palaiseau,,,,,,CDD
Machine Learning Research Scientist for Robotics,,NAVER LABS Europe,Grenoble,,,,,,CDI
"Computer Vision ML, Data scientist",,Sightengine,Télétravail,,,,,,CDI
STAGIAIRE DATA SCIENTIST - Lutte contre la Fraude Machine Learning & Data Science,H/F,Malakoff Humanis,Paris,,,,,,CDI
Data Scientist en STAGE ou ALTERNANCE,H/F,HIMYDATA,Uckange,,,,,,CDI
Data Scientist,H/F,Cleeven Se,Biot,25000,40000,32500,Annuel,32500,CDI
Analytics Engineer,,Ornikar,Paris,50000,57000,53500,Annuel,53500,CDD
Analytics Engineer - Data Analyst,,Licorne Society,Paris,,,,,,CDD
Stage M2 - Data / Analytics Engineer - Paris,H/F,AVISIA,Paris,,,,,,CDD
Analytics Engineer - CDD - Paris,,papernest,Paris,,,,,,CDD
CDI - Analytics Engineer (F/H/X),H/F,Sephora,Neuilly-sur-Seine,,,,,,CDD
Data Engineer - 2 ans d'expérience,H/F,Chouette,Paris,45000,,22500,Annuel,22500,CDI
Data Engineer,H/F,ULTRA PREMIUM DIRECT,Bordeaux,,,,,,CDI
Cloud Sustainability Engineer,H/F,CLOUD TEMPLE,Caen,,,,,,CDI
Offre de CDI de Data Engineer MLOps en audio,,Reef Pulse,France,40000,55000,47500,Annuel,47500,CDI
IT Infrastructure and Operations Manager,,Alice & Bob,Paris,,,,,,CDI
Senior Cloud Architect / Devops,,Sensewaves,Paris,,,,,,CDI
Ingénieur exploitation - h/f,H/F,CLS,Ramonville-Saint-Agne,,,,,,CDI
Post-Doctoral Research Visit F/M Control for frugality and resilience of software components: hierarchical and distributed approaches,,Inria,Grenoble,,,,,,CDD
Stage – Développeur Cloud,,SpikeeLabs,Nantes,,,,,,CDD
Alternance - Administrateur Solution Microsoft & Cloud,H/F,Clasquin,Lyon,,,,,,CDD
Alternant-e DevOps Cloud –,H/F,Safran,Colomiers,,,,,,CDD
Ingénieur Production Cloud/DevOps – CDI,H/F,I-TRACING,Courbevoie,,,,,,CDD
Stage de développement application web,,InnovQube,Télétravail,1,,0.5,Mensuel,6,CDD
Data Scientist,H/F,I-facilities,Plaisir,62000,67000,64500,Annuel,64500,CDI
STAGE - INTELLIGENCE ARTIFICIELLE ET DATA SCIENCE ...,,Equans,Nantes,,,,,,CDI
Stage R&D- Ingénieur Data Science ou Informatique,H/F,Diagnostica Stago,Gennevilliers,,,,,,CDI
STAGE 2025 - Stage en data science LLM (ALL GENDER),,Airbus Defence and Space SAS,Toulouse,,,,,,CDI
Data Science Intern,,AUROBAC THERAPEUTICS,Lyon,,,,,,CDI
Data Scientist,H/F,I-facilities,Plaisir,62000,67000,64500,Annuel,64500,CDD
STAGE - INTELLIGENCE ARTIFICIELLE ET DATA SCIENCE ...,,Equans,Nantes,,,,,,CDD
Stage R&D- Ingénieur Data Science ou Informatique,H/F,Diagnostica Stago,Gennevilliers,,,,,,CDD
STAGE 2025 - Stage en data science LLM (ALL GENDER),,Airbus Defence and Space SAS,Toulouse,,,,,,CDD
Data Science Intern,,AUROBAC THERAPEUTICS,Lyon,,,,,,CDD
Conseiller Services Assurance Maladie,H/F,CPAM DE LA COTE D'OPALE,Calais,2000,,1000,Mensuel,12000,CDI
Téléconseiller en assurance,H/F,Owliance - Tessi,Reims,2000,,1000,Mensuel,12000,CDI
"Agent ou agente de la relation client bord, SVEA Amiens",,SNCF Voyageurs,Amiens,27000,30000,28500,Annuel,28500,CDI
Courtier en assurance,H/F,Ben's finance & Insurance,Paris,1000,4000,2500,Mensuel,30000,CDI
SAISONNIERS EMPLOYÉ POLYVALENT MAGASIN LE MANS,H/F,SMYTHS TOYS FRANCE,La Chapelle-Saint-Aubin,21000,,10500,Annuel,10500,CDI
Conseiller Services Assurance Maladie,H/F,CPAM DE LA COTE D'OPALE,Calais,2000,,1000,Mensuel,12000,CDD
Téléconseiller en assurance,H/F,Owliance - Tessi,Reims,2000,,1000,Mensuel,12000,CDD
"Agent ou agente de la relation client bord, SVEA Amiens",,SNCF Voyageurs,Amiens,27000,30000,28500,Annuel,28500,CDD
Courtier en assurance,H/F,Ben's finance & Insurance,Paris,1000,4000,2500,Mensuel,30000,CDD
SAISONNIERS EMPLOYÉ POLYVALENT MAGASIN LE MANS,H/F,SMYTHS TOYS FRANCE,La Chapelle-Saint-Aubin,21000,,10500,Annuel,10500,CDD
Ingénieur Process & Amélioration Continue,H/F,Barry Callebaut,Louviers,,,,,,CDI
Ingénieur électronique logiciel embarqué,H/F,SparkyFlow,Marseille,37000,44000,40500,Annuel,40500,CDI
Ingénieur vision industrielle,H/F,SparkyFlow,Marseille,37000,44000,40500,Annuel,40500,CDI
Ingénieur ou Ingénieure Essayeur Dépanneur,,SNCF Cadres,Tergnier,35000,45000,40000,Annuel,40000,CDI
Ingénieur généraliste,H/F,SparkyFlow,Marseille,37000,44000,40500,Annuel,40500,CDI
Ingénieur en automatisme,H/F,NOVAXIOM,Lyon,32000,48000,40000,Annuel,40000,CDI
Ingénieur Automaticien,H/F,NGen,Lyon,35000,47000,41000,Annuel,41000,CDI
INGÉNIEURE/INGÉNIEUR AUTOMATICIEN PARIS,,Capgemini Engineering,Paris,,,,,,CDI
Ingénieur Méthodes - Nanterre 92,H/F,VINCI Energies Young Talents Days,Nanterre,,,,,,CDI
Ingénieur Automaticien et Roboticien,H/F,Eiffage Énergie Systèmes,Mondeville,,,,,,CDI
Ingénieur Etudes,H/F,PJE Consulting,Mulhouse,60000,70000,65000,Annuel,65000,CDI
Ingénieur Électrotechnique,H/F,ville-cholet.fr,Cholet,,,,,,CDI
Ingénieure / Ingénieur projet nucléaire,,Capgemini Engineering,Lyon,,,,,,CDI
Ingénieur moyens de test,H/F,Safran,Méru,,,,,,CDI
Ingénieur d'Etudes - Automatismes,H/F,DEDIENNE AEROSPACE,Toulouse,40000,50000,45000,Annuel,45000,CDI
Ingénieur Système Electrotechnique,H/F,CRDL,Étupes,,,,,,CDI
Ingénieur·e développement powertrain,,CIXI,Poisy,,,,,,CDI
Ingénieur(e) automaticien(ne),,Eiffage Énergie Systèmes,Clichy,,,,,,CDI
Ingénieur Électrotechnique,H/F,ville-cholet.fr,Cholet,,,,,,CDI
Ingénieur études électriques,H/F,B-HIVE,Paris,35000,40000,37500,Annuel,37500,CDI
Ingénieur études électriques,H/F,B-HIVE,Le Havre,,,,,,CDI
Ingénieur Automaticien Pharmaceutique - Strasbourg -,H/F,Capgemini Engineering,Strasbourg,,,,,,CDI
Ingénieur en électronique,H/F,Cabinet Alpes Compétences,Chambéry,37000,,18500,Annuel,18500,CDI
Ingénieur bureau d'études,H/F,SNEF,Berre-l'Étang,,,,,,CDI
Ingénieur Maintenance,H/F,NEWSLOT,Peynier,30000,37000,33500,Annuel,33500,CDI
Ingénieure / Ingénieur d’Affaires,,Rubix,Strasbourg,,,,,,CDI
Ingénieur équipements et maintenance,H/F,SparkyFlow,Peynier,40000,42000,41000,Annuel,41000,CDI
Ingénieur métrologue électrique,H/F,PRODIGYUS,Valenciennes,30000,50000,40000,Annuel,40000,CDI
Ingénieur Assurance Qualité Fournisseur,H/F,Mafelec,Chimilin,,,,,,CDI
Ingénieur Conception Schémas Électriques (aéronautique / défense),,LR Technologies,Créteil,38000,44000,41000,Annuel,41000,CDI
Assistant Ingénieur d'Exploitation d'Instrument,H/F,CNRS,Caen,2000,,1000,Mensuel,12000,CDD
Ingénieur.e en automatique / électronique,H/F,SATT Aquitaine,Pau,30000,,15000,Annuel,15000,CDD
Chargé/e de mission émergence innovations deeptech,H/F,SATT Nord,Lille,,,,,,CDD
[UT] Responsable pôle méthodes,H/F,Université fédérale Toulouse Midi-Pyrénées,Toulouse,,,,,,CDD
Superviseur maintenance industrielle - Usine de Dunkerque - CDD,H/F,Coca-Cola Europacific Partners,France,,,,,,CDD
Technicien de Maintenance Biomédicale,H/F,Hospices Civils de Lyon - HCL,Lyon,,,,,,CDD
Technicien Supérieur d'Exploitation d'Instrument réf N°393,H/F,Ganil,Caen,2000,,1000,Mensuel,12000,CDD
Ingénieur génie civil,H/F,Leaf Ingenierie,Boulogne-Billancourt,30000,60000,45000,Annuel,45000,CDI
Ingénieur méthodes Terrassement - Génie Civil - CDI,H/F,Eiffage,Penly,,,,,,CDI
Ingénieur méthodes - Génie Civil Grands Projets - CDI,H/F,Eiffage,Saint-Jean-de-la-Porte,,,,,,CDI
Ingénieur d’Etudes Génie Civil,H/F,Edvance,Montrouge,39000,48000,43500,Annuel,43500,CDI
Ingénieur Génie Civil,,Cleeven Se,Biot,25000,45000,35000,Annuel,35000,CDI
Ingénieure/ Ingénieur chercheur en génie civil,H/F,EDF,Saclay,45000,55000,50000,Annuel,50000,CDI
Ingénieur Génie Civil - Matériaux,H/F,Edvance,Montrouge,43000,50000,46500,Annuel,46500,CDI
Ingénieur études Génie Civil,H/F,ECP - Euro Contrôle Projet,Cherbourg-Octeville,,,,,,CDI
Ingénieur Génie Civil Conception Bâtiment,H/F,Edvance,Montrouge,40000,48000,44000,Annuel,44000,CDI
Ingénieur Génie Civil,H/F,ADSOM,Paris,35000,,17500,Annuel,17500,CDI
Ingénieur travaux - Génie Civil Ligne 15 - CDI,H/F,Eiffage,Saint-Denis,,,,,,CDI
Ingénieure/Ingénieur Génie Civil - LYON,,Capgemini Engineering,Lyon,,,,,,CDI
Ingénieur Calcul Structures Génie Civil,H/F,ADIWATT,Fontaine-Raoul,,,,,,CDI
Ingénieur en génie civil,H/F,EFOR GROUP,Champagne-au-Mont-d'Or,31000,50000,40500,Annuel,40500,CDI
Ingénieur méthodes Génie Civil,H/F,ECP - Euro Contrôle Projet,Cherbourg-Octeville,,,,,,CDI
Ingénieur Génie Civil,H/F,B-HIVE,Marseille,,,,,,CDI
Ingénieur méthodes - Génie Civil - CDI,H/F,Eiffage,Vitrolles,,,,,,CDI
Chargé Développement Durable - Génie Civil - CDI,H/F,Eiffage,Vélizy-Villacoublay,,,,,,CDI
Ingénieur génie civil,H/F,Bee Engineering,Marseille,33000,45000,39000,Annuel,39000,CDI
Chargé d’innovation - Génie Civil - CDI,H/F,Eiffage,Vélizy-Villacoublay,,,,,,CDI
Assistant Bureau d'études Génie Civil,H/F,Mansearch Recrutement,Brie-Comte-Robert,33000,38000,35500,Annuel,35500,CDI
Ingénieur Reporting - Génie Civil Infra Linéaires - CDI,H/F,Eiffage,Penly,,,,,,CDI
Ingénieur(e) travaux génie civil,,UCETIA Consulting,La Garenne-Colombes,34000,45000,39500,Annuel,39500,CDI
Ingénieur Projets Génie Civil - Structure Toulouse ou Paris,,PertinAnce Technologies,Toulouse,52000,65000,58500,Annuel,58500,CDI
Coordinateur études travaux - Génie Civil - CDI,H/F,Eiffage,Neuilly-sur-Marne,,,,,,CDI
Ingénieur Génie Civil - Méthode BIM,H/F,Edvance,Montrouge,40000,50000,45000,Annuel,45000,CDI
Chargé.e d'études génie civil,H/F,Cyclife engineering GROUPE EDF,Lyon,,,,,,CDI
Ingénieur Etudes de prix Génie Civil,H/F,Groupe NGE,Libourne,,,,,,CDI
Responsable achats - Génie civil - CDI,H/F,Eiffage,Penly,,,,,,CDI
Ingénieur(e) Etudes Génie Civil Industriel,H/F,orano,Bagnols-sur-Cèze,,,,,,CDI
Ingénieur / Ingénieure en techniques biologiques,H/F,CNRS,Marseille,2000,3000,2500,Mensuel,30000,CDD
Assistant Ingénieur en techniques biologiques,H/F,CNRS,Gif-sur-Yvette,2000,3000,2500,Mensuel,30000,CDD
Ingénieur en techniques biologiques,,Inserm,Nice,2000,,1000,Mensuel,12000,CDD
Ingénieur / Ingénieure en techniques biologiques du muscle,H/F,CNRS,Marseille,2000,3000,2500,Mensuel,30000,CDD
Ingénieur-e en techniques biologiques,H/F,CNRS,Paris,2000,3000,2500,Mensuel,30000,CDD
Ingénieur / ingénieure en techniques biologies,H/F,CNRS,Nice,2000,3000,2500,Mensuel,30000,CDD
